CG1111A,Engineering Principles & Practice I,4
CS1010,Programming Methodology,4
EG1311,Design and Make,4
MA1511,Engineering Calculus,2
MA1512,Differential Equation for Engineering,2
UE,Unrestricted Elective,4
CG2111A,Engineering Principles & Practice II,4
DTK1234,Design Thinking,4
MA1508E,Linear Algebra for Engineering,4
PF1101,Fundamentals of Project Management,4
GEA1000,Quantitative Reasoning with Data,4
CS1231,Discrete Structures,4
CS2040C,Data Structures & Algorithms,4
GEC1XXX,Cultures and Connections,4
IE2141,Systems Thinking and Dynamics,4
ES2631,Critique and Communication of Thinking and Design,4
CG2023,Signals & Systems,4
CS2113,Software Engineering & OOP,4
EE2026,Digital Design,4
EE2211,Introduction to Machine Learning,4
EG2501,Liveable Cities,4
EG3611A,Industrial Attachment,10
EG2401A,Engineering Professionalism,2
CG2027,Transistor-level Digital Circuits,2
CG2028,Computer Organization,2
CG2271,Real-Time Operating Systems,4
CDE2000,Creating Narratives,4
GESSXXXX,Singapore Studies,4
ST2334,Probability and Statistics,4
CG4002,CEG Capstone Project,8
EE4204,Computer Networks,4
GEN1XXX,Communities & Engagement,4
MA1513,Linear Algebra with Differential Equations,2
BN1111,Engineering Principles and Practice I,4
CE2407A,Engineering Uncertainty Analysis,2
CS1010E,Programming Methodology,4
CE2407B,Introduction to Numerical Methods for Engineers,2
BN2111,Engineering Principles and Practice II,4
CDE2501,Liveable Cities,4
BN2301,Biochemistry and Biomaterials for Bioengineers,4
BN2403,Fundamentals of Biosignals and Bioinstrumentation,4
BN2201,Quantitative Physiology for Bioengineers,4
BN2102,Bioengineering Data Analysis,4
BN2204,Fundamentals of Biomechanics,4
BN3101A,Biomedical Engineering Design,4
BN4101,B.Eng Dissertation,4
CN1101A,Chemical Engineering Principles and Practice I,4
CN2102,Chemical Engineering Principles and Practice II,4
CN2103,Mass & Energy Balance,4
CN2104,Chemical Engineering Thermodynamics,4
CN2105,Reaction Engineering,4
CN2106,Fluid Mechanics & Heat Transfer,4
CN3103,Mass Transfer and Separation Processes,4
CN3104,Computer‐Aided Chemical Process Simulation,4
CN4101,Process Control and Safety,4
CN4118,B.Eng. Dissertation,4
CN4102,Chemical Engineering Lab,4
CE1101,Principles of Structural and Geotechnical Engineering,4
CE2155,Principles of Structural Mechanics and Materials,4
CE2134,Fuild Mechanics,4
